id,Terminal Name,Street,Location,Cross Street,Suburb,Latitude,Longitude
1,Apollo Ferry Terminal,Apollo St,FS,Byron St,BULIMBA,-27.44314448,153.0638084
2,Sydney Street Ferry Terminal,Sydney St,,Oxlade Dr,NEW FARM,-27.47478598,153.042188
3,Riverside Ferry Terminal,Eagle St,,Queen St,CITY,-27.46708903,153.03123
4,Eagle Street Pier Ferry Terminal,Eagle St,,Charlotte St,CITY,-27.46879602,153.030954
5,QUT Ferry Terminal,Alice St,,William St,CITY,-27.47640897,153.025013
6,North Quay 1 Ferry Terminal,William St,,Elizabeth St,CITY,-27.47267204,153.022458
7,North Quay 2 Ferry Terminal,William St,,Elizabeth St,CITY,-27.47288096,153.022676
8,Regatta Ferry Terminal,Coronation Dr,,Landsborough Tce,TOOWONG,-27.48321301,152.996814
9,Guyatt Park Ferry Terminal,Macquarie St,,Laurence St,ST LUCIA,-27.492312,153.001872
10,University of Queensland Ferry Terminal,Sir William Macgregor Dr,,Blair Dr,ST LUCIA,-27.49357899,153.016776
11,West End Ferry Terminal,Hoogley St,,Orleigh St,WEST END,-27.49024102,153.003364
12,South Bank 1 QUT Ferry Terminal,South Bank Broadwalk,AT,South Bank Parklands,SOUTH BRISBANE,-27.47583096,153.022207
13,South Bank 2 QUT Ferry Terminal,South Bank Broadwalk,AT,South Bank Parklands,SOUTH BRISBANE,-27.47612302,153.02239
14,South Bank 3 River Ferry Terminal,South Bank Broadwalk,AT,South Bank Parklands,SOUTH BRISBANE,-27.47979196,153.025037
15,River Plaza Ferry Terminal,Lower River Tce,,Christie St,SOUTH BRISBANE,-27.48187303,153.0283
16,Thornton Street Ferry Terminal,Thornton St,,Pixley St,KANGAROO POINT,-27.47122298,153.034033
17,Holman Street Ferry Terminal,Holman St,,Annie St,KANGAROO POINT,-27.46569096,153.033569
18,Dockside Ferry Terminal,Ferry St,App,Dockside Ferry,KANGAROO POINT,-27.47247098,153.039021
19,Mowbray Park Ferry Terminal,Park Av,FS,Thorn St,EAST BRISBANE,-27.47729204,153.043255
20,Hawthorne Ferry Terminal,Gordon St,,Lindsay St,HAWTHORNE,-27.46120003,153.053416
21,Bulimba Ferry Terminal,Oxford St,,Quay St,BULIMBA,-27.45034903,153.052244
22,Norman Park Ferry Terminal,Wynnum Rd,,Norman Av,NORMAN PARK,-27.47434797,153.053649
23,Bretts Wharf Ferry Terminal,Kingsford Smith Dr,,Riverview Tce,HAMILTON,-27.44012296,153.062018
24,Teneriffe Ferry Terminal,Commercial Rd,,Skyring Tce,NEWSTEAD,-27.45168897,153.049248
25,New Farm Ferry Terminal,Brunswick St,,Oxlade Dr,NEW FARM,-27.47172,153.052482
